VendorNumber,VendorName,Brand,Description,ListPrice,ActualPaidPrice,TotalQtyPurchased,TotalSpend,TotalQtySold,TotalRevenue,PriceVariance,SellThroughRate,AllocatedFreight,RemainingStock,UnsoldInventoryValue,FreightPerUnit,NetProfit,NetProfitMargin,GrossProfit,SalesToPurchaseRatio,StockTurnover,SalesEfficiency,ProfitPerUnit,VendorDependency%,OrderSize,DeadStockRisk,UnitCost,VendorCategory,Contribution%,CumulativeContribution,RecommendedAction
2,"IRA GOLDMAN AND WILLIAMS, LLP",90085,Ch Lilian 09 Ladouys St Este,36.99,23.86,8,190.88,18,665.82,-13.130000000000003,2.25,0.917979143579689,-10,-238.6,0.11474739294746113,474.02202085642034,71.19371915178581,474.94000000000005,3.4881601005867564,2.25,3.4881601005867564,26.334556714245576,6.231441759804208e-05,Small,False,23.86,C,6.23144175980421e-05,99.99987620689882,Optimize Freight & Logistics
60,ADAMBA IMPORTS INTL INC,771,Bak's Krupnik Honey Liqueur,14.99,11.44,39,446.16,47,704.53,-3.5500000000000007,1.205128205128205,2.1358888788300154,-8,-91.52,0.054766381508461935,256.2341111211699,36.36951032903779,258.36999999999995,1.5790971848664155,1.205128205128205,1.5790971848664155,5.451789598322764,0.00014565276904621996,Small,False,11.440000000000001,C,0.00014565276904621996,99.99981389248121,Increase Strategic Procurement
105,ALTAMAR BRANDS LLC,2529,Right Gin,29.99,23.25,12,279.0,12,359.88,-6.739999999999998,1.0,1.4869735695614292,0,0.0,0.1239144641301191,79.39302643043857,22.06097211026969,80.88,1.2898924731182795,1.0,1.2898924731182795,6.616085535869881,9.108194944391106e-05,Small,False,23.25,C,0.0038215896651624076,99.98191594663395,Optimize Freight & Logistics
105,ALTAMAR BRANDS LLC,8412,Tequila Ocho Plata Fresno,49.99,35.71,320,11427.199999999999,307,15346.93,-14.280000000000001,0.959375,60.90302643043857,13,464.23,0.19032195759512055,3858.8269735695626,25.143966731910307,3919.7300000000014,1.3430175371044526,0.959375,1.3430175371044526,12.569468969281964,0.0037305077157184963,Medium,False,35.709999999999994,C,0.0038215896651624076,99.98191594663395,Reduce Procurement Dependency
200,AMERICAN SPIRITS EXCHANGE,20789,Zin-phomaniac Znfdl,14.99,9.73,96,934.08,84,1511.1599999999999,-5.26,0.875,4.797666036045006,12,116.76,0.049975687875468806,572.2823339639548,37.87039982291451,577.0799999999998,1.6178057553956833,0.875,1.6178057553956833,6.812884928142319,0.00030493844923501235,Medium,False,9.73,C,0.0003049384492350124,99.99941509065526,Reduce Procurement Dependency
388,ATLANTIC IMPORTING COMPANY,2034,Glendalough Double Barrel,32.99,21.32,1777,37885.64,1587,45645.13,-11.670000000000002,0.8930782217220034,195.1027089389323,190,4050.8,0.10979330835055279,7564.387291061065,16.57216726310357,7759.489999999998,1.2048134860596258,0.8930782217220034,1.2048134860596258,4.766469622596764,0.01236809300046672,Large,True,21.32,C,0.013422776270823191,99.83472652716304,Liquidate Excess Inventory
388,ATLANTIC IMPORTING COMPANY,2119,Glendalough 13 Yr Sngle Malt,89.99,66.4,39,2589.6,115,9838.85,-23.58999999999999,2.948717948717949,13.335870136237872,-76,-5046.400000000001,0.3419453881086634,7235.914129863762,73.54430781914311,7249.25,3.799370559159716,2.948717948717949,3.799370559159716,62.92099243359793,0.0008453971909675702,Small,False,66.39999999999999,C,0.013422776270823191,99.83472652716304,Optimize Freight & Logistics
388,ATLANTIC IMPORTING COMPANY,7241,Glendalough Poitin Shry Cask,34.99,20.68,31,641.08,123,3788.77,-14.310000000000002,3.967741935483871,3.301420924829849,-92,-1902.56,0.10649744918805965,3144.38857907517,82.99233205169936,3147.69,5.9099800336931425,3.967741935483871,5.9099800336931425,25.564134789229026,0.00020928607938889787,Small,False,20.68,C,0.013422776270823191,99.83472652716304,Optimize Freight & Logistics
480,BACARDI USA INC,126,Grey Goose Vodka,32.99,20.140000000000004,59878,1205942.92,58013,1736610.87,-12.849999999999998,0.9688533351147333,6109.38671202751,1865,37561.100000000006,0.1020305740343283,524558.5632879727,30.20587814747311,530667.9500000002,1.4400440030776915,0.9688533351147333,1.4400440030776915,9.042086485580347,0.3936904375329121,Large,False,20.139999999999997,A,5.690832931994817,45.7667608122908,Negotiate Better Vendor Pricing
480,BACARDI USA INC,128,Grey Goose Le Citron Vodka,31.99,24.42,4,97.68,4,122.96,-7.569999999999997,1.0,0.49485335013273035,0,0.0,0.12371333753318259,24.785146649867258,20.15708087985301,25.279999999999987,1.2588042588042587,1.0,1.2588042588042587,6.1962866624668145,3.1888476063373595e-05,Small,False,24.42,A,5.690832931994817,45.7667608122908,Negotiate Better Vendor Pricing
